,,,,,,,,,,,
,,,,,,,,,,,
Team Names,Total Matches,Total Wins,Total Runs,Total Wickets,,,Team Names,Total Runs,,Team Names,Total Runs
Chennai Super Kings (CSK),8,5,2869,103,,,Chennai Super Kings (CSK),2869,,Win by Runs,13297
Delhi Capitals (DC),7,2,2420,85,,,Delhi Capitals (DC),2420,,Win by Wickets,7647
Kolkata Knight Riders (KKR),8,4,2788,107,,,Kolkata Knight Riders (KKR),2788,,Grand Total,20944
Mumbai Indians (MI),8,4,2735,110,9,,Mumbai Indians (MI),2735,,,
Punjab Kings (PBKS),7,2,2458,89,,,Punjab Kings (PBKS),2458,,,
Rajasthan Royals (RR),7,4,2318,105,,,Rajasthan Royals (RR),2318,,,
Royal Challengers Bengaluru (RCB),7,4,2600,88,,,Royal Challengers Bengaluru (RCB),2600,,,
Sunrisers Hyderabad (SRH),8,5,2756,112,,,Sunrisers Hyderabad (SRH),2756,,,
(blank),,0,,,,,Grand Total,20944,,,
Grand Total,60,0,20944,799,,,,,,,
,,,,,,,,,,,
Team Names,Total Wins,,,,,,,,,,
Chennai Super Kings (CSK),5,,,,,,,,,,
Delhi Capitals (DC),2,,,,,,,,,,
Kolkata Knight Riders (KKR),4,,,,,,,,,,
Mumbai Indians (MI),4,,,,,,,,,,
Punjab Kings (PBKS),2,,,,,,,,,,
Rajasthan Royals (RR),4,,,,,,,,,,
Royal Challengers Bengaluru (RCB),4,,,,,,,,,,
Sunrisers Hyderabad (SRH),5,,,,,,,,,,
(blank),0,,,,,,,,,,
Grand Total,0,,,,,,,,,,
Team Names,Count of Team_ID,,,,,,,,,,
Arun Jaitley Stadium,8,,,,,,,,,,
Eden Gardens,8,,,,,,,,,,
M. A. Chidambaram Stadium,8,,,,,,,,,,
M. Chinnaswamy Stadium,8,,,,,,,,,,
Maharaja Yadavindra Singh Int. Cricket Stadium,8,,,,,,,,,,
Rajiv Gandhi Int. Stadium,8,,,,,,,,,,
Sawai Mansingh Stadium,8,,,,,,,,,,
Wankhede Stadium,8,,,,,,,,,,
(blank),8,,,,,,,,,,
Grand Total,8,,,,,,,,,,
